Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,4,"Phase 1 - Cadrage du sujet et prise en main",2026-02-09,2026-02-27,15 day,100,"","",31,"<p><br></p>"
1,5,"S1 - Compréhension du sujet",2026-02-09,2026-02-20,10 day,100,"","",,"<p><br></p>"
1,6,"S1 - Analyse du contexte applicatif",2026-02-09,2026-02-20,10 day,100,"","",,"<p><br></p>"
1,7,"S1 - Prise en main du pipeline existant",2026-02-09,2026-02-20,10 day,100,"","",,"<p><br></p>"
1,8,"S1 - Bases MOT / ReID",2026-02-09,2026-02-20,10 day,100,"","",,""
1,9,"S1 - Strategie bibliographique initiale",2026-02-09,2026-02-20,10 day,100,"","",,""
1,10,"S2 - Lecture des premiers articles",2026-02-23,2026-02-27,5 day,100,"9FS","",,""
1,11,"S2 - Preparation des premieres questions",2026-02-16,2026-02-27,10 day,100,"","",,""
1,12,"S2 - Mise en place du suivi de travail",2026-02-16,2026-02-27,10 day,100,"","",,""
1,13,"Phase 2 - Revue bibliographique et choix de direction",2026-02-23,2026-03-13,15 day,100,"","",31,"<p><br></p>"
1,14,"S3 - Revue recente MOT / ReID",2026-02-23,2026-03-06,10 day,100,"","",,""
1,15,"S3 - Comparaison preliminaire des baselines",2026-02-23,2026-03-06,10 day,100,"","",,""
1,16,"S3 - Identification des limites face au changement d'apparence",2026-02-23,2026-03-06,10 day,100,"","",,""
1,17,"S3 - Premiere orientation methodologique",2026-02-23,2026-03-06,10 day,100,"","",,""
1,18,"S3 - Premier cadrage formel du projet",2026-02-23,2026-03-06,10 day,100,"","",,""
1,19,"S4 - Lecture sur memoire et temporalite",2026-03-09,2026-03-13,5 day,100,"18FS","",,""
1,20,"S4 - Analyse multi-projection + attention",2026-03-02,2026-03-13,10 day,100,"","",,""
1,21,"S4 - Recentrage sur la stabilite d'identite",2026-03-02,2026-03-13,10 day,100,"","",,""
1,22,"S4 - Choix du point de depart experimental",2026-03-02,2026-03-13,10 day,100,"","",,""
1,23,"S4 - Resume de reunion",2026-03-02,2026-03-13,10 day,100,"","",,""
1,24,"Phase 3 - Mise en place du cadre experimental",2026-03-09,2026-04-03,20 day,100,"","",31,"<p><br></p>"
1,25,"S5 - Baseline minimale",2026-03-16,2026-03-20,5 day,100,"23FS","",,""
1,26,"S5 - Pipeline offline operationnel",2026-03-09,2026-03-20,10 day,100,"","",,""
1,27,"S5 - Configuration StrongSORT / DeepSORT",2026-03-09,2026-03-20,10 day,100,"","",,""
1,28,"S5 - Preparation de l'environnement de test",2026-03-09,2026-03-20,10 day,100,"","",,""
1,29,"S5 - Documentation du pipeline baseline",2026-03-09,2026-03-20,10 day,100,"","",,""
1,30,"S6 - Validation baseline sur MOT17",2026-03-23,2026-03-27,5 day,100,"26FS","",,""
1,31,"S6 - Preparation des premieres videos",2026-03-16,2026-03-27,10 day,100,"","",,""
1,32,"S6 - Test StrongSORT sur changement d'apparence",2026-03-16,2026-03-27,10 day,100,"","",,""
1,33,"S6 - Confirmation des limites de la baseline",2026-03-16,2026-03-27,10 day,100,"","",,""
1,34,"S6 - Premiere implementation STM / LTM",2026-03-16,2026-03-27,10 day,100,"","",,""
1,35,"S6 - Premiere amelioration du systeme memoire",2026-03-16,2026-03-27,10 day,100,"","",,""
1,36,"S7 - Tableau de comparaison",2026-03-30,2026-04-03,5 day,100,"33FS","",,""
1,37,"S7 - Memory-aware matching initial",2026-03-23,2026-04-03,10 day,100,"","",,""
1,38,"S7 - Top-k matching initial",2026-03-23,2026-04-03,10 day,100,"","",,""
1,39,"S7 - Appearance trend initial",2026-03-23,2026-04-03,10 day,100,"","",,""
1,40,"S7 - Viewer de debug",2026-03-23,2026-03-27,5 day,100,"","",,""
1,41,"S7 - Premier rapport mensuel",2026-03-30,2026-04-03,5 day,100,"40FS","",,"<p><br></p>"
1,42,"S7 - Lecture complementaire sur le changement d'apparence",2026-03-23,2026-04-03,10 day,100,"","",,""
1,43,"Phase 4 - Repositionnement guide par la litterature",2026-03-30,2026-04-17,15 day,40,"","",31,"<p><br></p>"
1,44,"S8 - Evaluation separee des modules",2026-03-30,2026-04-03,5 day,100,"","",,"<p><br></p>"
1,45,"S8 - Lecture des articles recommandes",2026-03-30,2026-04-10,10 day,50,"","",,"<p><br></p>"
1,46,"S8 - Tableau des techniques pertinentes",2026-03-30,2026-04-10,10 day,50,"","",,"<p><br></p>"
1,47,"S8 - Selection des idees les plus utiles",2026-03-30,2026-04-10,10 day,50,"","",,"<p><br></p>"
1,49,"S9 - Creation de nouvelles videos de test",2026-03-30,2026-04-10,10 day,40,"","",,"<p><br></p>"
1,50,"S9 - Tri des modules a conserver ou remplacer",2026-04-06,2026-04-17,10 day,0,"","",,""
1,51,"S9 - Correspondance code / litterature",2026-04-06,2026-04-17,10 day,0,"","",,""
1,52,"S9 - Ajustement du plan experimental",2026-04-06,2026-04-17,10 day,0,"","",,""
1,53,"S9 - Mise a jour de la direction du projet",2026-04-06,2026-04-10,5 day,0,"","",,""
1,54,"Phase 5 - Renforcement de la methode et validation sur nouvelles donnees",2026-04-13,2026-05-22,30 day,0,"","",31,"<p><br></p>"
1,55,"S10 - Integration des nouvelles videos",2026-04-13,2026-04-17,5 day,0,"53FS","",,""
1,56,"S10 - Test baseline vs meilleure version",2026-04-13,2026-04-24,10 day,0,"","",,""
1,57,"S10 - Analyse des echecs par scenario",2026-04-13,2026-04-24,10 day,0,"","",,""
1,58,"S10 - Optimisation du selective update",2026-04-13,2026-04-24,10 day,0,"","",,""
1,59,"S10 - Optimisation de l'ecriture memoire",2026-04-13,2026-04-24,10 day,0,"","",,""
1,60,"S10 - Verification fixed / variational part",2026-04-13,2026-04-17,5 day,0,"","",,""
1,61,"S11 - Amelioration de appearance trend",2026-04-20,2026-04-24,5 day,0,"60FS","",,""
1,62,"S11 - Representation explicite des variations recentes",2026-04-20,2026-05-01,10 day,0,"","",,""
1,63,"S11 - Comparaison trend vs moyenne simple",2026-04-20,2026-05-01,10 day,0,"","",,""
1,64,"S11 - Optimisation du trend dans le matching",2026-04-20,2026-05-01,10 day,0,"","",,""
1,65,"S11 - Test trend only vs memory-aware + trend",2026-04-20,2026-04-24,5 day,0,"","",,""
1,66,"S11 - Preparation du 2e rapport mensuel",2026-04-27,2026-05-01,5 day,0,"65FS","",,""
1,67,"S12-S13 - Etude occlusion et grands changements d'apparence",2026-05-04,2026-05-15,10 day,0,"66FS","",,""
1,68,"S12-S13 - Analyse des cas critiques",2026-04-27,2026-05-15,15 day,0,"","",,""
1,69,"S12-S13 - Optimisation detection / memoire",2026-04-27,2026-05-15,15 day,0,"","",,""
1,70,"S12-S13 - Analyse frame par frame des ID switch",2026-04-27,2026-05-15,15 day,0,"","",,""
1,71,"S12-S13 - Identification memory vs matching",2026-04-27,2026-05-15,15 day,0,"","",,""
1,72,"S12-S13 - Validation sur anciennes et nouvelles videos",2026-04-27,2026-05-08,10 day,0,"","",,""
1,73,"S12-S13 - Deuxieme rapport mensuel",2026-04-27,2026-05-01,5 day,0,"","",,""
1,74,"Phase 6 - Approfondissement du modele temporel",2026-05-11,2026-06-12,25 day,0,"","",31,"<p><br></p>"
1,75,"S14 - Etude immediate appearance change modeling",2026-05-11,2026-05-15,5 day,0,"73FS+5 days","",,""
1,76,"S14 - Comparaison avec la methode actuelle",2026-05-11,2026-05-22,10 day,0,"","",,""
1,77,"S14 - Modelisation explicite entre frames adjacentes",2026-05-11,2026-05-22,10 day,0,"","",,""
1,78,"S14 - Evaluation sur cas difficiles",2026-05-11,2026-05-15,5 day,0,"","",,""
1,79,"S15-S16 - Etude TIE et representations temporelles",2026-05-18,2026-05-29,10 day,0,"78FS","",,""
1,80,"S15-S16 - Comparaison TIE / appearance_trend / temporal representation",2026-05-18,2026-06-12,20 day,0,"","",,""
1,81,"S15-S16 - Analyse des sequences courtes pour le matching",2026-05-18,2026-06-12,20 day,0,"","",,""
1,82,"S15-S16 - Etude Temporal asymmetric MAM",2026-05-18,2026-06-12,20 day,0,"","",,""
1,83,"S15-S16 - Renforcement de la decision temporelle",2026-05-18,2026-06-12,20 day,0,"","",,""
1,84,"S15-S16 - Test de l'impact temporel sur les ID switch",2026-05-18,2026-05-29,10 day,0,"","",,""
1,85,"S15-S16 - Bilan intermediaire et mise a jour rapport/slides",2026-06-01,2026-06-12,10 day,0,"84FS","",,""
1,86,"Phase 7 - Fusion spatio-temporelle et convergence du framework",2026-06-01,2026-06-26,20 day,0,"","",31,"<p><br></p>"
1,87,"S17-S18 - Etude STF",2026-06-01,2026-06-12,10 day,0,"","",,""
1,88,"S17-S18 - Evaluation de l'interet pour le framework actuel",2026-06-01,2026-06-26,20 day,0,"","",,""
1,89,"S17-S18 - Analyse spatiale / temporelle",2026-06-01,2026-06-26,20 day,0,"","",,""
1,90,"S17-S18 - Correspondance techniques / code",2026-06-01,2026-06-26,20 day,0,"","",,""
1,91,"S17-S18 - Identification des modules presents et manquants",2026-06-01,2026-06-26,20 day,0,"","",,""
1,92,"S17-S18 - Consolidation du noyau memory/matching/trend",2026-06-01,2026-06-26,20 day,0,"","",,""
1,93,"S17-S18 - Definition de la version centrale",2026-06-01,2026-06-26,20 day,0,"","",,""
1,94,"S17-S18 - Preparation du 3e rapport mensuel",2026-06-01,2026-06-05,5 day,0,"84FS","",,""
1,95,"Phase 8 - Extension experimentale et comparaisons systematiques",2026-06-15,2026-07-17,25 day,0,"","",31,"<p><br></p>"
1,96,"S19 - Extension du jeu de test",2026-06-15,2026-06-19,5 day,0,"","",,""
1,97,"S19 - Nouvelles videos variees",2026-06-15,2026-06-26,10 day,0,"","",,""
1,98,"S19 - Scenes vetements accessoires posture occlusion velo",2026-06-15,2026-06-26,10 day,0,"","",,""
1,99,"S19 - Integration complete au pipeline offline",2026-06-15,2026-06-26,10 day,0,"","",,""
1,100,"S19 - Test baseline vs versions ameliorees",2026-06-15,2026-06-26,10 day,0,"","",,""
1,101,"S19 - Debut validation generalisation",2026-06-15,2026-06-19,5 day,0,"","",,""
1,102,"S20 - Comparaisons multi-videos",2026-06-22,2026-06-26,5 day,0,"101FS","",,""
1,103,"S20 - Meme methode sur plusieurs videos",2026-06-22,2026-07-03,10 day,0,"","",,""
1,104,"S20 - Plusieurs methodes sur une meme video",2026-06-22,2026-07-03,10 day,0,"","",,""
1,105,"S20 - Comparaison avec methodes existantes",2026-06-22,2026-07-03,10 day,0,"","",,""
1,107,"S21 - Uniformisation du protocole",2026-06-29,2026-07-10,10 day,0,"","",,""
1,108,"S21 - Consolidation des comparaisons principales",2026-06-29,2026-07-10,10 day,0,"","",,""
1,109,"S21 - Selection des experiences representatives",2026-06-29,2026-07-10,10 day,0,"","",,""
1,110,"S21 - Fixation des tableaux finaux",2026-06-29,2026-07-03,5 day,0,"","",,""
1,111,"S21 - Quatrieme rapport mensuel",2026-06-29,2026-07-03,5 day,0,"","",,""
1,112,"S22 - Experiments complementaires de generalisation",2026-07-06,2026-07-10,5 day,0,"110FS","",,""
1,113,"S22 - Test au-dela du changement de vetements",2026-07-06,2026-07-17,10 day,0,"","",,""
1,114,"S22 - Analyse du potentiel de transfert",2026-07-06,2026-07-17,10 day,0,"","",,""
1,115,"S22 - Comparaison de plusieurs types de variations d'apparence",2026-07-06,2026-07-09,4 day,0,"","",,""
1,116,"S22 - Mise a jour des resultats finaux",2026-07-13,2026-07-17,5 day,0,"115FS+1 day","",,""
1,117,"Phase 9 - Consolidation finale et livrables",2026-07-13,2026-07-31,15 day,0,"","",31,"<p><br></p>"
1,118,"S23 - Nettoyage du code et des scripts",2026-07-13,2026-07-24,10 day,0,"","",,""
1,119,"S23 - Verification de la reproductibilite",2026-07-13,2026-07-24,10 day,0,"","",,""
1,120,"S23 - Coherence code/resultats/figures/videos",2026-07-13,2026-07-24,10 day,0,"","",,""
1,121,"S23 - Nettoyage de la documentation et du README",2026-07-13,2026-07-24,10 day,0,"","",,""
1,122,"S23 - Preparation des figures finales",2026-07-13,2026-07-17,5 day,0,"","",,""
1,123,"S23 - Debut des slides finales",2026-07-20,2026-07-24,5 day,0,"122FS","",,""
1,124,"S23 - Redaction finale du rapport",2026-07-13,2026-07-31,15 day,0,"","",,""
1,125,"S24 - Selection et integration des figures et videos",2026-07-20,2026-07-31,10 day,0,"","",,""
1,126,"S24 - Synthese des resultats principaux",2026-07-20,2026-07-31,10 day,0,"","",,""
1,127,"S24 - Formulation des contributions et limites",2026-07-20,2026-07-24,5 day,0,"","",,""
1,128,"S24 - Finalisation de la structure des slides",2026-07-27,2026-07-31,5 day,0,"127FS","",,""
1,129,"S25 - Verification finale code/documents/resultats",2026-07-27,2026-07-31,5 day,0,"","",,""
1,130,"S25 - Relecture finale rapport et slides",2026-07-27,2026-07-31,5 day,0,"","",,""
1,131,"S25 - Preparation des livrables de stage",2026-07-27,2026-07-31,5 day,0,"","",,""
1,132,"S25 - Synthese finale contributions/limites/perspectives",2026-07-27,2026-07-31,5 day,0,"","",,""
1,133,"S25 - Archivage final",2026-07-27,2026-07-31,5 day,0,"","",,""
1,134,"S25 - Preparation de la soutenance",2026-07-27,2026-07-31,5 day,0,"","",,""
1,135,"S25 - Reserve finale de verification",2026-07-27,2026-07-31,5 day,0,"","",,""
1,1,"Reunions hebdomadaires + compte-rendu",2026-02-09,2026-07-30,124 day,100,"","",301,"<p><br></p>"
1,2,"Preparation progressive du rapport et de la presentation",2026-02-09,2026-07-30,124 day,100,"","",301,"<p><br></p>"
1,3,"Mise a jour du rapport mensuel",2026-02-09,2026-07-30,124 day,100,"","",301,"<p><br></p>"