trial_number,trend_scale,appearance_cost_weight,short_memory_size,used_frames,used_rows,mean_row_margin,mean_matrix_range,mean_best_cost,mean_diag_margin
132,0.4374922015634378,0.06795900489604934,12,434,868,0.03568771864407336,0.03587880642711443,0.37087561151999937,
145,0.4563410362985579,0.11461599829800279,12,434,868,0.035654350927158865,0.03581034442296534,0.3680214660363309,
152,0.4522422731653112,0.10531584171823263,12,434,868,0.035618447005392184,0.035774474978043376,0.3684374232168887,
147,0.4383418031418888,0.07816217024694506,12,434,868,0.03532551237225931,0.035480797013145875,0.36763753908814045,
95,0.4279442088602623,0.05380031063820298,12,434,868,0.03520776184089401,0.03536288163387691,0.3681101330220766,
141,0.43470157949410754,0.07549783681653525,12,434,868,0.03514214266045082,0.03529653826978508,0.3656061092949618,
134,0.42781462263151065,0.06019337783909883,12,434,868,0.03502013156458699,0.035174291362476365,0.3655912910225889,
150,0.442242138981982,0.12805311924217938,12,415,830,0.03495765955508566,0.035090024073291384,0.35100156644422187,
72,0.4297802362228787,0.07422366472741732,12,434,868,0.034794232837088324,0.03494905959730145,0.3619444671617457,
123,0.41465048526704995,0.0021267290950562345,12,444,923,0.03475227319887469,0.034905585620176385,0.3787485362772768,
109,0.42588641030757046,0.06563131941723153,12,434,868,0.034721676072563656,0.03487635552253254,0.36189377160906483,
111,0.4236023018730286,0.08521890825237281,12,415,830,0.03471991912592207,0.034854158985216085,0.3522154494469164,
124,0.43375008115518493,0.0032785468822388343,12,436,928,0.03470978601009452,0.03484722560146767,0.3964624896964274,
113,0.4257223943711431,0.06750510479973937,12,434,868,0.0346569531643021,0.0348113027529037,0.3610526176004574,
102,0.4182606603871267,0.04708288385711375,12,434,868,0.034609363665370096,0.03476392365602247,0.36225168329041946,
131,0.4433597949277577,0.06387560852350423,12,444,931,0.03449984746674648,0.034652462180502865,0.3816649185599853,
125,0.43604605020612835,0.0028726891190147125,12,435,926,0.03446349921664257,0.03460201519694297,0.39885740420538734,
121,0.42658410169170397,0.03767648805976062,12,434,895,0.034413422070093146,0.0345993168453963,0.37545268431259565,
143,0.4480094694527123,0.06215054212548242,12,444,941,0.03437937002365605,0.03453542252586646,0.3878556524089708,
101,0.4984702183519577,0.01926450704420562,12,438,962,0.034334898503954075,0.03445154681499278,0.44967254076741253,
68,0.4217111470177456,0.08018974519808589,11,415,830,0.034326595811700555,0.03444795082027055,0.3532096694168646,
81,0.47365930043700083,0.07727048957459706,12,442,964,0.034304854236278104,0.034439754707692824,0.40282424014959417,
91,0.4986423362569835,0.02139592912798591,12,438,962,0.034295109112121115,0.03441159410838315,0.44887723137960517,
127,0.4377025076021209,0.0037892184742407305,12,442,961,0.03423406306727631,0.0343704042003546,0.4004442635347649,
136,0.43043487919552864,0.0401080215291571,12,444,929,0.034222131735012755,0.03437432810651461,0.3795308694572358,
65,0.41189406768071685,0.04485647020993958,12,434,868,0.03414771126986426,0.034300242531032435,0.35755222017878835,
130,0.37907967177972124,0.0016589271166973646,12,415,830,0.0341303752572466,0.03426378001249367,0.34272200853641355,
73,0.41726575603461596,0.06375868091677224,12,434,868,0.034076272172236854,0.034253284314299755,0.3552587509140938,
78,0.49780263528736024,0.030871677055586084,12,438,962,0.034009278891725385,0.03412466601621305,0.44390331020507884,
140,0.43428877950229827,0.09497304465182824,11,439,878,0.033830646602585154,0.0339907253138022,0.35853078251764553,
105,0.4283596708805164,0.08470528971416447,11,439,878,0.03381931408305769,0.03394214347562874,0.3574897350445921,
92,0.48859250218239997,0.015870863831590316,12,438,962,0.03373844297680208,0.03385310439642818,0.44224851539575666,
82,0.4901995935340236,0.02189151482013335,12,438,962,0.03370660252666964,0.03382107731493817,0.44106443995300715,
85,0.48732803591325613,0.013850217317916792,12,438,962,0.03369898179977872,0.033813534857636315,0.44198451617356493,
114,0.4214005540954451,0.11608734920839042,12,415,830,0.03369556453848837,0.03382363647873524,0.3389608642775904,
155,0.4976362193847337,0.08215733424058336,12,439,965,0.03358453006019917,0.03372538415847356,0.4212394410375551,
93,0.4905105766464002,0.07463153535403859,12,439,965,0.033301435706826345,0.03344130358757095,0.4185254112723151,
157,0.45131140575654066,0.1710596045243627,11,415,830,0.033063246430027435,0.03318058732983386,0.3420486594793201,
89,0.4739822489617521,0.02386816017826067,12,439,965,0.0330192300181985,0.03316099733064015,0.4259814810722347,
79,0.4880410817128613,0.030261180438123036,12,439,965,0.033009425224790126,0.03315447674342867,0.4360835580554731,
59,0.4068304239863056,0.09927670291429515,12,415,830,0.03300835057213837,0.03313476697501424,0.333290386694814,
83,0.4868878879672915,0.03209420631389607,12,439,965,0.032889915443459344,0.03303437682874438,0.4342552207210224,
135,0.3918355653747162,0.05870220516505472,12,415,830,0.03286690920988125,0.03299531373275092,0.33497693608099627,
118,0.39055179152896585,0.05126059718547298,11,415,830,0.03262711141845166,0.0327429789269856,0.3370909763621972,
77,0.42855283493954516,0.13174468871173495,11,415,830,0.03251694077143887,0.03263352684208516,0.33976092311909367,
142,0.38131811356896217,0.04136909903814816,12,415,830,0.032418636231068325,0.032546369327333444,0.3317902995648944,
153,0.39370175593054374,0.10289737871604959,12,415,830,0.03188278162616301,0.032004423334496816,0.3213226109440625,
158,0.3890167813371516,0.09134993609766473,12,415,830,0.03179914330401154,0.03192121273912032,0.3214499036864854,
58,0.3954150905145573,0.10168323698305891,11,415,830,0.031692251701429815,0.03180347054530636,0.3237758891914563,
112,0.36905705511277165,0.04356118457395926,12,415,830,0.03133770090535064,0.03146094218659031,0.32043011746260563,
97,0.43202830197093467,0.1863981512732059,11,415,830,0.03124682104064709,0.031357151580956345,0.32168148540330405,
62,0.402238342062227,0.11280123009029727,11,415,830,0.03105847620839517,0.03117024786258326,0.32569852306315195,
139,0.37085421712597894,0.06506800345797431,12,415,830,0.030987939043533412,0.0311083672719041,0.3150124951230983,
104,0.3650862766720108,0.04769237645451575,12,415,830,0.030910791496010004,0.031032045194365802,0.3156697571310561,
63,0.3992660994914341,0.12198792358276149,11,415,830,0.03061502407854364,0.030724856593905565,0.3200743831219252,
48,0.3651182922907449,0.06304957506192999,12,415,830,0.03056389515232116,0.030682749162945736,0.31079627810103444,
126,0.35315189841719463,0.007458096737519779,11,415,830,0.030496013837593917,0.030606547833406307,0.31840162660293614,
74,0.40502072212746437,0.1956378264299992,12,415,830,0.03026652558641518,0.030375886660883446,0.2976015504332414,
122,0.3649530380969986,0.0865884011913669,12,415,830,0.029992596087931638,0.030107702258721166,0.30315111613817025,
146,0.3561325663340519,0.114257327890683,12,415,830,0.028686605786736125,0.02879461575483088,0.28724050367862786,
133,0.33618277413592956,0.040007014336057474,12,415,830,0.028653971816851417,0.028766647342605953,0.2929741246852274,
96,0.3400760341635004,0.05264829037726266,11,415,830,0.0284424457248849,0.028543220998975213,0.2931895323997882,
90,0.33962534322578275,0.08378492639335051,12,415,830,0.028024693184262393,0.02813205631934083,0.283012889864416,
100,0.33589132814211914,0.054797052176305615,11,415,830,0.027996990326663532,0.028096283044319402,0.28897007754720244,
54,0.3865954977498792,0.1644880447529838,10,420,840,0.02751659238035357,0.02760960573919451,0.29642010831471827,
156,0.3392142876031657,0.11537083524895457,12,415,830,0.027353203324165767,0.02745576450534272,0.2733286764977088,
84,0.3209609251512438,0.06633897976320768,12,415,830,0.02685410651986636,0.026957906166953878,0.2723845406277284,
44,0.43337077857651507,0.31749423785260555,10,420,840,0.026692927693360877,0.02677874542546355,0.2733656757771267,
138,0.3304850826480776,0.12545241973329635,12,415,830,0.026482346964099436,0.02658072586393175,0.26342676766545164,
52,0.3687275912325258,0.16237288758535628,10,420,840,0.02619754224908415,0.026286500913601105,0.2835464768754005,
34,0.49820495309153195,0.4126908175233304,9,420,840,0.026193487844354803,0.0262640579170373,0.27259029530022466,
51,0.362682101542555,0.1568411770746942,10,420,840,0.026061887818706532,0.026149950648057193,0.2806424331722116,
115,0.32882084997422156,0.1578099893296106,12,415,830,0.025641338730525282,0.025734539771703764,0.2528772710242259,
94,0.28244380954164416,0.010268516713744093,12,415,830,0.025291079720651182,0.025389364350332212,0.2532594057367574,
129,0.30194798819765256,0.10505372871115114,12,415,830,0.024643193950439613,0.024735519701415853,0.2461516243041849,
149,0.31050588940312107,0.08829259202267953,11,415,830,0.024626553414121767,0.024715214708392687,0.25835296477869985,
47,0.3797910143897675,0.2808272640062707,10,420,840,0.024560838302382062,0.02464003866217499,0.2522951122465039,
41,0.30955248235913146,0.015021211625687203,9,407,814,0.024364663905320497,0.02442168820616136,0.2790365014438758,
137,0.28126446177580106,0.02120770954535999,12,415,830,0.024323912955010275,0.02442039245139107,0.2497618345230909,
61,0.28444249856170195,0.06157510221089424,12,415,830,0.023943378296588012,0.024035767076214413,0.24265383581322758,
69,0.29979100567195766,0.08390441448283538,11,415,830,0.02387469066640421,0.02396069889027439,0.25061795562721795,
120,0.30053671581829394,0.14651047718638108,12,415,830,0.02375360408808605,0.02383992158993803,0.23423042052230827,
106,0.29935663298775,0.09290249253517546,11,415,830,0.023699559802649463,0.02378463148671597,0.24791250444138221,
19,0.48777410756964457,0.4450388526123399,7,427,854,0.023608238576667252,0.02367089160664505,0.2545496775030173,
31,0.4799262847322624,0.4369953380785133,7,427,854,0.02347283305265137,0.02353533154004517,0.25401092494656113,
87,0.27108183684491954,0.02852562448054508,12,415,830,0.023343672503513758,0.02343573154512263,0.23901722197444136,
18,0.45311797816503724,0.47428268266554097,9,427,854,0.022999407701352483,0.023056427870537122,0.22339034598141824,
36,0.34279251225905905,0.2291555862559636,9,420,840,0.022487463756173536,0.022550918493319066,0.24449134192261157,
20,0.4980228225761547,0.4442517248740857,6,446,892,0.022210110404223635,0.022273181680042862,0.26163679060246403,
117,0.2666105267724361,0.09912505254214984,12,415,830,0.02195818551996639,0.022040084045500983,0.2188507920968436,
21,0.4892390761845679,0.44924298739773855,6,446,892,0.021825944736239677,0.021887419081651732,0.2548812476815486,
99,0.2636109407587131,0.1338936901060305,12,415,830,0.021178556747510378,0.02125528967774493,0.20852822518883135,
128,0.246991541336674,0.03207889983836675,11,415,830,0.021042041679564413,0.021116796027396478,0.21748054826317822,
66,0.24611298814275692,0.043518773645403075,12,415,830,0.021032695351309243,0.021114476768531096,0.2138650315643817,
40,0.36437587821906564,0.3604584504488676,7,427,854,0.020035343713677992,0.020089154424895405,0.21890363240849847,
27,0.34131147201371087,0.3765899339453198,9,427,854,0.01994148874868398,0.019992247295457583,0.19904959625050755,
76,0.24515664261535683,0.07754500099236226,11,415,830,0.01973887989280432,0.019809729008931264,0.20646607836556116,
42,0.2649873981062915,0.005433335850377485,8,407,814,0.01973217787437652,0.01978415141341821,0.24209383610114438,
148,0.2626355033713785,0.23611989758725294,12,414,828,0.01947950387119937,0.019545404294043858,0.18470674541471646,
45,0.29483880832182513,0.324447681522635,11,420,840,0.019353611431195572,0.0194150796875576,0.18493055115164805,
98,0.2283224353659056,0.07950110160747725,12,415,830,0.019145326025458684,0.019217195028439164,0.1914199969641767,
86,0.32311197711521117,0.0003171116393853816,3,426,852,0.018716937714811647,0.018752602606981764,0.30530510743765654,
144,0.3131986325181793,0.06690342081147593,4,434,868,0.0183852023556271,0.01844926215847518,0.27476697603746036,
159,0.3535609016185534,0.62037392862725,12,427,854,0.018276194226059715,0.018321271361699115,0.1286574031117923,
88,0.21356972864784535,0.05038894673034476,12,415,830,0.018225643609172767,0.01829573764598741,0.18440727298535745,
103,0.4205079309401458,0.7730076074057304,12,427,854,0.017604633244033798,0.01764049332033554,0.09487395117033721,
30,0.37338521309274875,0.4776467792741988,6,446,892,0.01735133354883819,0.017422916431093862,0.18613113123259933,
57,0.23810736311410588,0.21077757945443681,10,420,840,0.017059294296017744,0.017113852754723668,0.17377940293998925,
108,0.20152503922409604,0.11455285690727893,11,415,830,0.016056982167495404,0.01611305529568989,0.16353146986642803,
32,0.2668093102733455,0.3386290802894758,7,427,854,0.015973815886453066,0.016014926223739973,0.1664504456741962,
71,0.4431456706867041,0.9116920204430079,11,427,854,0.015433811903251722,0.015459682497685895,0.044974232842236075,
53,0.21561302523519663,0.2705451983861946,11,420,840,0.015235838605005322,0.01528441604933593,0.14624365757532684,
75,0.31494443947825945,0.0001689523143542232,2,404,808,0.015091231795517954,0.015162206194835172,0.30162943262523206,
64,0.1855897796809265,0.10874841727207465,11,415,830,0.014909344316479587,0.014961330223992183,0.15161708018836706,
25,0.2944573238594561,0.5339412602335253,5,446,892,0.014608043225011254,0.01467435435409417,0.1333726657738508,
43,0.1889039303113877,0.0930517095112044,9,414,828,0.014438525669639147,0.014470465111490615,0.1577826779634997,
38,0.2074108692575422,0.252678725023152,9,427,854,0.01440112962292269,0.01443802613460178,0.14473938731791686,
17,0.47211089056357536,0.9971651010042196,10,427,854,0.014324061742274737,0.014356353835796379,0.011022227175487407,
23,0.23662008369109166,0.40781481378163614,7,427,854,0.01430821431779608,0.014340722715295703,0.133606996456797,
11,0.0010485564611795919,0.9900675403074437,9,427,854,0.014233348443624434,0.014265148127311802,0.009601983162753187,
13,0.0010430466025668713,0.9924014557152974,10,427,854,0.014182143764607198,0.014214342240543998,0.009747673650192676,
12,0.0011017673455495129,0.9810748306129323,10,427,854,0.01402099476701781,0.014052825154295755,0.009648434468751839,
0,0.010253509690168494,0.9507143064099162,10,427,854,0.013614010999005898,0.013644834135506871,0.00979756954596598,
80,0.1556312571167883,0.029052165809268577,12,415,830,0.013500283810193735,0.013552749542661951,0.13730001157190252,
22,0.2092804246471976,0.5381746811573277,5,427,854,0.012875539642307046,0.012903615145900405,0.09537681548361143,
46,0.16787194110039932,0.14719113747689833,10,420,840,0.012873419103847369,0.012914931608852095,0.1322393291467671,
2,0.001434715951720141,0.8661761457749352,8,427,854,0.012554003202015083,0.01258166491441169,0.008459596095801686,
28,0.1408815189220215,0.716815993015772,5,427,854,0.012486531253114613,0.012513898876421037,0.043926939380528114,
8,0.01701841881702917,0.7851759613930136,4,427,854,0.011869872955357554,0.011895625935957468,0.010400709106393428,
15,0.0010689848532759573,0.8218239601795811,12,427,854,0.011637619238486262,0.011665022817224386,0.00841680727309928,
26,0.10918406978441722,0.6402921807636687,7,427,854,0.01149894133598462,0.011520065657029269,0.04248913210896147,
37,0.12344472300449347,0.5116887144933026,11,427,854,0.011407306837654048,0.011427760041183664,0.060219259371552966,
33,0.15656812772210849,0.19264287351071557,8,427,854,0.011322666554765297,0.011351839607426712,0.11824286968331026,
60,0.13206207264429873,0.10045413985921181,12,414,828,0.011215463194604659,0.011254614422809955,0.10888984221012253,
10,0.006923277184805305,0.6843060681479877,11,427,854,0.009851250376029519,0.00987355808192639,0.008805963996755114,
4,0.1764971584817571,0.21233911067827616,4,446,892,0.009768566363812067,0.009802438373723027,0.13290476340808247,
16,0.0052553409544294225,0.6569684707841733,6,427,854,0.009735219160685114,0.009756186082531797,0.007753999618551256,
29,0.05479323423034909,0.5581883679137566,8,427,854,0.009460677499851055,0.009479312603840103,0.027742685426888875,
9,0.02442886696734996,0.5924145688620425,2,427,854,0.009278877806350684,0.009298243516564143,0.014577760449093721,
39,0.02642772194604843,0.585933975263495,8,427,854,0.009081607156576849,0.009100682471605458,0.01574332405004969,
24,0.08805270375324996,0.38155715280909286,8,427,854,0.008909517265049047,0.008924863945846613,0.053896447139775934,
56,0.09742345726796424,0.13924757500591672,11,420,840,0.008180851644195743,0.008206738048010946,0.07788680895238959,
3,0.08148293210105287,0.020584494295802447,12,415,830,0.00717895761299576,0.0072065185009182195,0.072573681021812,
14,0.004140319887638143,0.4635208399848658,9,427,854,0.0067910874775214975,0.0068059528403722645,0.0065508284050334355,
70,0.06987891632520606,0.03337988158740841,12,415,830,0.006202993430769185,0.0062258704456823015,0.06162110669789687,
35,0.05947882123000781,0.1057525167307668,11,427,854,0.0053654505019353335,0.005381647761103138,0.049606367640153214,
119,0.0452045110299267,0.18139658793486801,12,427,854,0.005179240882410038,0.00519178734199455,0.03557741762865756,
6,0.014648955132800727,0.2912291401980419,8,427,854,0.004800532448929035,0.004810179615901441,0.012397952177275158,
5,0.0031261029103110596,0.3042422429595377,7,427,854,0.004546439526383893,0.004556175535685066,0.0048862375007679825,
7,0.002379522116387727,0.29214464853521815,6,427,854,0.004371184041914295,0.004380571341508971,0.004273407209887475,
1,0.04128205343826222,0.15601864044243652,3,427,854,0.0035931339715221705,0.003600817967953756,0.03456387046712579,
49,0.034526915668916164,0.06084932009172024,12,427,854,0.0032696628781153894,0.0032799753697820423,0.030142284840469102,
107,0.02113527905483318,0.14082058209854162,11,427,854,0.0032534703482646403,0.003259455237346325,0.018004445228188667,
67,0.015987249922726553,0.12303570556974594,12,427,854,0.002716640989262559,0.002722017027375895,0.01403225426497605,
55,0.0019473305243371756,0.17203914844122553,10,427,854,0.002552911182588515,0.0025584192068502268,0.0031772684221888278,
154,0.0024468970379171472,0.13998619829267878,12,427,854,0.002108222728036248,0.002112702178204381,0.003337119106760303,
151,0.0012535466921257813,0.13111538319106292,12,427,854,0.0019183355350599223,0.0019226112958297293,0.002315514547132354,
116,0.011034827551984667,0.06881691016350779,12,427,854,0.0016971639967733204,0.001700859327471162,0.010066267572821223,
50,0.009171723567983158,0.047919980944161056,12,427,854,0.001297047556738386,0.0013000668492544794,0.008446366574493274,
110,0.004903953172308065,0.06764558224899872,12,427,854,0.0012601095502795365,0.001262178197923121,0.004861481105438558,
